Name,Party,Vote,Mtg n.,Proposal n.
Jan Volný,ANO,A,12,7
Radek Vondráček,ANO,A,12,7
Ivo Vondrák,ANO,A,12,7
Petr Vrána,ANO,A,12,7
Rostislav Vyzula,ANO,A,12,7
Radek Zlesák,ANO,A,12,7
Ivan Adamec,ODS,A,12,7
Jan Bauer,ODS,A,12,7
Martin Baxa,ODS,A,12,7
Petr Beitl,ODS,A,12,7
Marek Benda,ODS,A,12,7
Stanislav Blaha,ODS,A,12,7
Pavel Blažek,ODS,A,12,7
Jana Černochová,ODS,A,12,7
Petr Fiala,ODS,A,12,7
Jakub Janda,ODS,A,12,7
Václav Klaus,ODS,0,12,7
Karel Krejza,ODS,A,12,7
Martin Kupka,ODS,A,12,7
Zuzana Majerová Zahradníková,ODS,A,12,7
Jaroslav Martinů,ODS,A,12,7
Ilona Mauritzová,ODS,A,12,7
Vojtěch Munzar,ODS,A,12,7
Miroslava Němcová,ODS,A,12,7
Jan Skopeček,ODS,A,12,7
Zbyněk Stanjura,ODS,A,12,7
Bohuslav Svoboda,ODS,A,12,7
Jiří Ventruba,ODS,A,12,7
Veronika Vrecionová,ODS,A,12,7
Jan Zahradník,ODS,A,12,7
Pavel Žáček,ODS,A,12,7
Dana Balcarová,Piráti,A,12,7
Lukáš Bartoň,Piráti,A,12,7
Ivan Bartoš,Piráti,A,12,7
Lukáš Černohorský,Piráti,A,12,7
František Elfmark,Piráti,A,12,7
Mikuláš Ferjenčík,Piráti,A,12,7
Radek Holomčík,Piráti,A,12,7
Martin Jiránek,Piráti,A,12,7
Lukáš Kolářík,Piráti,A,12,7
František Kopřiva,Piráti,A,12,7
Lenka Kozlová,Piráti,A,12,7
Jan Lipavský,Piráti,A,12,7
Tomáš Martínek,Piráti,A,12,7
Jakub Michálek,Piráti,A,12,7
Mikuláš Peksa,Piráti,A,12,7
Vojtěch Pikal,Piráti,A,12,7
Ondřej Polanský,Piráti,A,12,7
Jan Pošvář,Piráti,A,12,7
Ondřej Profant,Piráti,A,12,7
Olga Richterová,Piráti,A,12,7
Petr Třešňák,Piráti,A,12,7
Tomáš Vymazal,Piráti,A,12,7
Marian Bojko,SPD,M,12,7
Jaroslav Dvořák,SPD,A,12,7
Radim Fiala,SPD,A,12,7
Jaroslav Holík,SPD,A,12,7
Jan Hrnčíř,SPD,A,12,7
Tereza Hyťhová,SPD,A,12,7
Monika Jarošová,SPD,A,12,7
Pavel Jelínek,SPD,A,12,7
Jiří Kobza,SPD,A,12,7
Jiří Kohoutek,SPD,A,12,7
Radek Koten,SPD,A,12,7
Jana Levová,SPD,A,12,7
Karla Maříková,SPD,A,12,7
Ivana Nevludová,SPD,A,12,7
Tomio Okamura,SPD,A,12,7
Zdeněk Podal,SPD,A,12,7
Miloslav Rozner,SPD,A,12,7
Radek Rozvoral,SPD,A,12,7
Lucie Šafránková,SPD,A,12,7
Lubomír Španěl,SPD,A,12,7
Radovan Vích,SPD,A,12,7
Lubomír Volný,SPD,A,12,7
Jiří Běhounek,ČSSD,A,12,7
Jan Birke,ČSSD,A,12,7
Petr Dolínek,ČSSD,A,12,7
Jaroslav Foldyna,ČSSD,A,12,7
Alena Gajdůšková,ČSSD,A,12,7
Jan Hamáček,ČSSD,A,12,7
Tomáš Hanzel,ČSSD,A,12,7
Milan Chovanec,ČSSD,M,12,7
Jan Chvojka,ČSSD,A,12,7
Roman Onderka,ČSSD,A,12,7
Roman Sklenák,ČSSD,A,12,7
Antonín Staněk,ČSSD,M,12,7
Kateřina Valachová,ČSSD,A,12,7
Ondřej Veselý,ČSSD,A,12,7
